shop,emoji,gender,appearance,img,name,order,notes
kaigo coffee room,🧍‍♂️,m,"wearing a white AllSaints oversized tshirt, silver chain, black beanie with teddy bear",CIMG0034.JPG,Michael,barista,"was on his laptop, talking to the guy at the bar, uses a macbook with a sticker on the top right corner, has tattoos on his forearms, mainly working on his laptop other than filming"
kaigo coffee room,🧍‍♂️,m,"Nike blazers with a maroon tick, clear glasses",CIMG0032.JPG,–,employee(?),"i think he works with them, organizing the tabletop for filming, wants to get a piercing (simple stud), figuring out how to film the top of the coffee machine, set up his tripod to film, asking michael to hand over an empty cup for the clip"
kaigo coffee room,🧍‍♀️,f,"tshit, black hoodie, medium length hair",CIMG0033.JPG,–,cahsier,"took my order, working on her laptop (HP), have food behind the counter, eating while working, her friends boyfriend is studying to become a doctor
"
kaigo coffee room,👨‍👩‍👧,"m, f, f","strip shirt (daughter)
dark grey coat (mom)
green cap, green sweatshirt (dad)",CIMG0036.JPG,family of 3: parents and daughter,two hot lattes and one iced latte,"were sitting on the table next to me, talking about apartments, looked at a place in williamsburg which is a three floor walkup, the mother has a childless friend that goes on a lot of trips, has a friend that is swedish, showing photos of her friends, talking about universal studio, was here for about half an hour"
kaigo coffee room,🧍‍♀️,f,"sunglasses, black leg warmers, fur coat",CIMG0037.JPG,–,a cold brew and a latte,to go
kaigo coffee room,👭,"f, f","dark brown patagonia puffer jacket (f1)
black puffer jacket, black vans (f2)",CIMG0038.JPG,friends,two hot matcha lattes,sat by the counter next to the door facing the street (further away from where i was sitting)
kaigo coffee room,🧍‍♀️,f,"beige overcoat, blue top, light beige pants, white block heeled boots, carrying nespresso paper bag",who.jpeg,–,(couldn't hear),to go
kaigo coffee room,👭,"f, f","blue beanie, black beats headphones, blue eyes (f1)",CIMG0040.JPG,friends,small lavendar matcha with oat milk iced,"sat at the table next to me, bought some books, “forces you to think about things that you wouldn’t otherwise”"
kaigo coffee room,🧍‍♂️,m,"levis workwear jacket, black big tote bag, chelsea boots, dark wash jean, black frame glasses",CIMG0040.JPG,–,flat white with regular milk,to go
kaigo coffee room,🧍‍♂️,m,"beige jacket, grey nike sweatpants, backpack",CIMG0041.JPG,–,black coffee,to go
kaigo coffee room,🧍‍♀️,f,"black fila fleece, black leggings",who.jpeg,–,–,"came in left didn’t have what she wanted
"
kaigo coffee room,🧍‍♀️👯‍♀️,"f, f, f",(f1),"CIMG0044.JPG
CIMG0045.JPG",friends,"two hot turmeric latte, one chocolate croissant, a decaf latte","sat at the table next to me, they looked japanese, the fitrst two that ordered went around the corner to Canel Street Market for the bathroom, they were speaking in Japanese so i didn’t understadn what they were talking about"
kaigo coffee room,👯‍♀️,"f, f","black jeans, tory burch purse, fur coat, has curly hair (f1)
black jacket, blue jeans (f2)",CIMG0046.JPG,friends,"ice caramel latter with oat milk, ice matcha latte with regular whole milk",sat by the counter next to the door facing the street (further away from where i was sitting)
kaigo coffee room,🧍‍♀️,f,"green jacket, blue jeans reebok, drybar paper bag",CIMG0047.JPG,–,ice latte with almond milk,to go
dreamers coffee house,🧍‍♂️,m,"baseball cap, baby blue sweatshirt",IMG_7279.jpg,Tyler,barista,"found out it's his birthday tomorrow, after finishing up closing, fell asleep on the ground"
dreamers coffee house,🧍‍♂️,m,white tshirt,IMG_7281.jpg,Justin,barista,"going to paris for two weekends, showed up to work that day at 10.15"
dreamers coffee house,🧍‍♀️,f,"denim jacket, light blue jeans, pattern scarf, hair up with a claw clip",CIMG0070-1.JPG,–,almond chai,to go
dreamers coffee house,🧍‍♂️,m,"green jacket, beige pants",CIMG0070-2.JPG,–,matcha latte,to go
dreamers coffee house,🧍‍♀️,f,"grey brown jacket, double denim (jacket and jeans)",CIMG0071-1.JPG,–,matcha latte,to go
dreamers coffee house,👯‍♀️,"f, f","green puffer, cargo jeans, highlights in her hair (f1)
black long overcoat and denim skirt, hair pulled up into a bun (f2)",CIMG0072.JPG,–,matcha latte,"they were playing with milo (the owner's dog), sat down at the table next to me, one of their phones was running out of battery and they needed a charger, thought they were about to ask Tyler/Justin if they could charge their phone here, but they didn't"
dreamers coffee house,🧍‍♂️,m,"stripe shirt, black pants, black sneakers",CIMG0073.JPG,friends,sparkling lime seltzer,"works in the gallery next door, borrowed the usb adapter from daniel (the other owner of Dreamers Coffee) and wanted to give it back but he just missed him"
dreamers coffee house,👫,"m, f","grey puffer, glasses (m)
the north face long coat with a water bottle, lime green cap (f)",CIMG0075.JPG,couple,two espressos,"asked for some simple syrup, was looking at the selection of zine available at the counter on the side of the shop"
dreamers coffee house,🧍‍♂️,m,"brown backpack, red sweater, grey jeans docs, skateboard",IMG_7278.jpg,David Russell,latte,"is a singer, friends with the people that works here, heading to wash later to shoot some film and polaroids, going to spain in july (trip is 2 grand), going with his girlfriend's family, ibiza, never been to europe, 5-day work week, get his days off consecutively, made 7grand in january, had 10 shots of whiskey and 2 margaritas at a party a few days ago, “living the best live ive ever been”, broke up with his girlfriend a while ago (2 weeks?), was really upset about it, courtney (girlfriend's name)"
dreamers coffee house,🧍‍♂️,m,"a fisherman cap, white champion shirt with green graphics",CIMG0070-3.JPG,Daniel,one of the owners,stepped out for a late lunch with Brooke
dreamers coffee house,🧍‍♀️,f,"McNally Jackson Books tote bag, black jacket, dark washed jeans",CIMG0071-2.JPG,Brooke,used to work here as a barista,"got late lunch with Daniel, went to florence, Justin was asking where she got euros, will be in Chicago next week, coming in to Dreamers to work for a weekend 10/11a – 2/3p, lives in Bushwick, Brooklyn, usually takes the M train home, used to live around the neighborhood"
haven cafe,🧍‍♀️,f,"black tshirt, black baseball cap",CIMG0078-1.JPG,–,barista,
haven cafe,👯‍♂️,"m, m","blue hoodie, permed hair, a gold chain (m1)
muted pink tshirt (m2)",CIMG0078-2.JPG,–,"iced tea, m2 ordered another one after he finished the first drink","both on their macbook, watching gaming videos, is working on some coding work it seems like, moved on to doing work and not watching youtube anymore"
haven cafe,👫,"m, f","black and white graphic tshirt black jeans, black vans (m)
beige hoodie, beige sweatpants (f)",CIMG0076.JPG,–,iced coffee,"guy is on his laptop, girl is working on her ipad, the girl has to leave at five? the guy's brother, matthew(?,mom and aunt all have access to his amazon account, online window shopping? "
haven cafe,🧍‍♂️,m,"san francisco navy baseball cap, navy vest, white button up short sleeve shirt,",CIMG0079.JPG,uncle,some food,"at a different table, talking ot the barista about where he works"
haven cafe,🧍‍♀️,f,"wavy hair, black graphic long sleeve, with a drey backpack with mint green stripes",CIMG0080.JPG,–,?,"reading on her kindle, also has a macbook, got on a phone call with someone (speaking in mandarin), turns out she knows the people here or works here as i saw her go behind the counter to fill her mug with water"
haven cafe,🧍‍♀️,f,"canada goose blue beanie, grey sweatpants, beige tote bag, dark grey green jacket",CIMG0085.JPG,–,a hot drink,"on the phone with someone, call ended and she’s just on her phone"
haven cafe,🧍‍♂️,m,navy puffer vest,CIMG0088.JPG,–,iced thai milk tea,"either friends or know of the girl with curly hair, is reading a book at his table, with a light grey cap on his table"
